QuarterDate,Quarter,OneYearLPRRate,Inflation,NominalGDP,UnemploymentRate,Ystar,OutputGap,Istar,TaylorDeviation,Debt,DebtMinusHalf,PrimExp
2012-07-01,2012Q3,0.06,0.0189781,13605967549226.055,0.040999999999999995,13564730767692.271,0.003039999999999904,3.0299871499999997,-0.029699871499999995,-0.344,-0.344,-0.27669759388193
2012-10-01,2012Q4,0.06,0.02103176,13932508712858.043,0.040999999999999995,13890282254803.441,0.003039999999999935,3.03306764,-0.0297306764,-0.344,-0.344,-0.27669759388193
2013-01-01,2013Q1,0.06,0.02463619,14267301118867.49,0.0405,14221224351967.117,0.0032399999999999708,3.038574285,-0.02978574285,-0.37,-0.344,-0.28051947347356
2013-04-01,2013Q2,0.06,0.02390944,14611561911777.762,0.0405,14564373342149.2,0.003239999999999938,3.03748416,-0.0297748416,-0.37,-0.344,-0.28051947347356
2013-07-01,2013Q3,0.06,0.027335130000000003,14947666587545.7,0.0405,14899392555665.346,0.003239999999999852,3.042622695,-0.02982622695,-0.37,-0.37,-0.28051947347356
2013-10-01,2013Q4,0.0572625,0.02894226,15274120091594.748,0.0405,15224791766272.027,0.0032399999999999565,3.04503339,-0.029877708899999997,-0.37,-0.37,-0.28051947347356
2014-01-01,2014Q1,0.05746166666666667,0.022405599999999998,15601021950831.34,0.040999999999999995,15553738585531.326,0.0030399999999998996,3.0351283999999996,-0.02977666733333333,-0.4,-0.37,-0.28335328356546996
2014-04-01,2014Q2,0.057683870967741926,0.021382349999999998,15913656861282.225,0.040999999999999995,15865425966344.54,0.003039999999999883,3.0335935249999997,-0.029759096540322577,-0.4,-0.37,-0.28335328356546996
2014-07-01,2014Q3,0.0576,0.01905997,16208314050896.533,0.040999999999999995,16159190112953.156,0.0030399999999999603,3.0301099550000004,-0.029725099550000005,-0.4,-0.4,-0.28335328356546996
2014-10-01,2014Q4,0.056496774193548385,0.0140732,16503690186832.71,0.040999999999999995,16453671026910.902,0.0030399999999999668,3.0226298000000003,-0.029661330258064517,-0.4,-0.4,-0.28335328356546996
2015-01-01,2015Q1,0.054329999999999996,0.01147486,16794153979685.75,0.044,16763309490223.736,0.001840000000000119,3.01813229,-0.029638022899999998,-0.415,-0.4,-0.31039439800727
2015-04-01,2015Q2,0.05146774193548387,0.01357313,17073475806756.375,0.044,17042118309067.69,0.0018400000000000586,3.0212796949999996,-0.02969811953064516,-0.415,-0.4,-0.31039439800727
2015-07-01,2015Q3,0.04703846153846154,0.017935700000000002,17364815179981.45,0.044,17332922602393.045,0.0018400000000000632,3.02782355,-0.029807850884615385,-0.415,-0.415,-0.31039439800727
2015-10-01,2015Q4,0.04352419354838709,0.01450253,17685776123384.625,0.044,17653294062309.973,0.001840000000000113,3.022673795,-0.02979149601451613,-0.415,-0.415,-0.31039439800727
2016-01-01,2016Q1,0.043,0.021021019999999998,18039783785161.945,0.047,18028245707908.883,0.0006400000000000452,3.03185153,-0.029888515299999998,-0.507,-0.415,-0.31635892440641
2016-04-01,2016Q2,0.043,0.0210914,18446946135209.46,0.047,18435147640719.402,0.0006399999999999011,3.0319571,-0.029889571,-0.507,-0.415,-0.31635892440641
2016-07-01,2016Q3,0.043,0.01628989,18915295487750.28,0.047,18903197441387.793,0.0006400000000000049,3.024754835,-0.029817548349999997,-0.507,-0.507,-0.31635892440641
2016-10-01,2016Q4,0.043,0.02160904,19416638753667.52,0.047,19404220052833.707,0.0006399999999999448,3.03273356,-0.029897335599999998,-0.507,-0.507,-0.31635892440641
2017-01-01,2017Q1,0.043,0.01437909,19933993301683.223,0.05,19945162592735.156,-0.0005600000000000956,3.021288635,-0.029782886349999996,-0.55,-0.507,-0.31878444531174
2017-04-01,2017Q2,0.043,0.01508197,20481200548461.527,0.05,20492676447272.0,-0.0005600000000000164,3.022342955,-0.02979342955,-0.55,-0.507,-0.31878444531174
2017-07-01,2017Q3,0.043,0.01602879,21060445595154.477,0.05,21072246052944.125,-0.000559999999999987,3.023763185,-0.02980763185,-0.55,-0.55,-0.31878444531174
2017-10-01,2017Q4,0.043,0.01822323,21613244076191.99,0.05,21625354274585.758,-0.0005600000000000697,3.027054845,-0.029840548449999997,-0.55,-0.55,-0.31878444531174
2018-01-01,2018Q1,0.043,0.02126289,22124465557850.48,0.0493,22130662143250.59,-0.0002799999999999643,3.031754335,-0.02988754335,-0.5670000000000001,-0.55,-0.32468585356699997
2018-04-01,2018Q2,0.04309516129032258,0.01711886,22636412250808.375,0.0493,22642752221430.375,-0.0002799999999999777,3.02553829,-0.029824431287096775,-0.5670000000000001,-0.55,-0.32468585356699997
2018-07-01,2018Q3,0.0431,0.02285898,23161428630807.855,0.0493,23167915647189.066,-0.0002799999999999136,3.03414847,-0.0299104847,-0.5670000000000001,-0.5670000000000001,-0.32468585356699997
2018-10-01,2018Q4,0.0431,0.02173218,23607437045853.67,0.0493,23614048979567.95,-0.00027999999999992874,3.03245827,-0.029893582699999997,-0.5670000000000001,-0.5670000000000001,-0.32468585356699997
2019-01-01,2019Q1,0.0431,0.01829653,23983880333675.3,0.051500000000000004,24011733945051.562,-0.0011600000000000794,3.026864795,-0.02983764795,-0.604,-0.5670000000000001,-0.33300438289933
2019-04-01,2019Q2,0.0431,0.02667514,24283645157301.855,0.051500000000000004,24311846899705.516,-0.0011600000000000722,3.03943271,-0.0299633271,-0.604,-0.5670000000000001,-0.33300438289933
2019-07-01,2019Q3,0.043054054054054054,0.028643369999999998,24454928969502.773,0.051500000000000004,24483329631875.75,-0.0011600000000000282,3.042385055,-0.029993310009459456,-0.604,-0.604,-0.33300438289933
2019-10-01,2019Q4,0.041666666666666664,0.04222709,24579977700098.05,0.051500000000000004,24608523587459.504,-0.0011600000000000041,3.062760635,-0.030210939683333337,-0.604,-0.604,-0.33300438289933
2020-01-01,2020Q1,0.04083333333333333,0.049566290000000006,24863694559855.875,0.056100000000000004,24938510090126.254,-0.0030000000000000057,3.0728494349999997,-0.030320161016666663,-0.7020000000000001,-0.604,-0.34445992436196
2020-04-01,2020Q2,0.0385,0.0272193,25154696217445.71,0.056100000000000004,25230387379584.465,-0.0030000000000000204,3.03932895,-0.030008289499999997,-0.7020000000000001,-0.604,-0.34445992436196
2020-07-01,2020Q3,0.0385,0.019583839999999998,25462307396115.695,0.056100000000000004,25538924168621.56,-0.0029999999999999454,3.02787576,-0.0298937576,-0.7020000000000001,-0.7020000000000001,-0.34445992436196
2020-10-01,2020Q4,0.0385,0.00120048,25793728239374.938,0.056100000000000004,25871342266173.457,-0.0029999999999999675,3.00030072,-0.029618007199999997,-0.7020000000000001,-0.7020000000000001,-0.34445992436196
